ID,Name,Address,Category,Pod,Indoor,Outdoor,Score,Corner,Lat,Lng
D1-018,Sala Thai,1301 Connecticut Ave NW,Restaurant,D1,4,3,74,No,38.9070,-77.0418
D1-019,Naan & Beyond,1710 Connecticut Ave NW,Restaurant,D1,3,2,68,No,38.9126,-77.0441
D1-020,Tatte Bakery,1612 Connecticut Ave NW,Bakery/Cafe,D1,4,4,82,No,38.9114,-77.0437
D1-021,Dupont Barbershop,1519 Connecticut Ave NW,Barber,D1,3,2,65,No,38.9103,-77.0433
D1-022,Salon Sielo,1728 Connecticut Ave NW,Salon,D1,3,2,64,No,38.9129,-77.0442
D1-023,Spa Logic,1721 Connecticut Ave NW,Spa,D1,3,1,62,No,38.9127,-77.0441
D1-024,European Wax Center,1739 Connecticut Ave NW,Beauty,D1,3,1,60,No,38.9130,-77.0443
D1-025,Dupont Lash & Brow,1730 Connecticut Ave NW,Beauty,D1,3,1,58,No,38.9129,-77.0442
D1-026,Lou Lou Boutique,1601 Connecticut Ave NW,Retail,D1,4,3,78,No,38.9110,-77.0435
D1-027,Secondi Consignment,1702 Connecticut Ave NW,Retail,D1,4,2,72,No,38.9124,-77.0440
D1-028,Secrete Fine Jewelry,1607 Connecticut Ave NW,Retail,D1,3,2,68,No,38.9112,-77.0436
D1-029,Spirits & Spice,1700 Connecticut Ave NW,Retail,D1,3,2,66,No,38.9124,-77.0440
D1-030,CVS Dupont,1601 Connecticut Ave NW,Pharmacy,D1,5,3,70,Yes,38.9110,-77.0435
D1-031,Compass Coffee Dupont,1776 Connecticut Ave NW,Coffee,D1,4,4,84,No,38.9135,-77.0445
D1-032,Peets Coffee,1701 Connecticut Ave NW,Coffee,D1,4,3,76,No,38.9124,-77.0440
D1-033,Shake Shack Dupont,1216 Connecticut Ave NW,Restaurant,D1,5,4,82,No,38.9060,-77.0415
D1-034,Sweetgreen Dupont,1512 Connecticut Ave NW,Restaurant,D1,4,3,76,No,38.9101,-77.0433
D1-035,CAVA Dupont,1501 Connecticut Ave NW,Restaurant,D1,4,3,75,No,38.9100,-77.0432
D1-036,Chipotle Dupont,1629 Connecticut Ave NW,Restaurant,D1,4,2,68,No,38.9114,-77.0437
D1-037,Potbelly Dupont,1701 Connecticut Ave NW,Restaurant,D1,4,2,66,No,38.9124,-77.0440
D1-038,Roti Mediterranean,1747 Connecticut Ave NW,Restaurant,D1,3,2,64,No,38.9132,-77.0444
D1-039,Nandos Peri-Peri,1210 Connecticut Ave NW,Restaurant,D1,4,4,80,No,38.9058,-77.0414
D1-040,Tonys BBQ,1630 Connecticut Ave NW,Restaurant,D1,3,3,72,No,38.9115,-77.0437
D1-041,Subway Dupont,1605 Connecticut Ave NW,Restaurant,D1,3,1,55,No,38.9112,-77.0436
D1-042,Five Guys Dupont,1645 Connecticut Ave NW,Restaurant,D1,4,2,68,No,38.9116,-77.0438
D1-043,GT Kombucha Bar,1515 Connecticut Ave NW,Cafe,D1,3,2,70,No,38.9102,-77.0434
D1-044,Sundevich,1314 Connecticut Ave NW,Restaurant,D1,3,3,72,No,38.9072,-77.0419
D1-045,Wawa Dupont,1718 Connecticut Ave NW,Convenience,D1,4,2,65,No,38.9128,-77.0442
D1-046,Philz Coffee,1725 Connecticut Ave NW,Coffee,D1,4,3,78,No,38.9128,-77.0442
D1-047,Gregorys Coffee,1636 Connecticut Ave NW,Coffee,D1,4,3,76,No,38.9115,-77.0437
D1-048,Bluestone Lane,1609 Connecticut Ave NW,Coffee,D1,4,4,82,No,38.9113,-77.0436
D1-049,Equinox Gym Dupont,1170 Connecticut Ave NW,Gym,D1,5,2,75,No,38.9050,-77.0410
D1-050,Washington Sports Club,1835 Connecticut Ave NW,Gym,D1,4,2,68,No,38.9142,-77.0448
D1-051,Orange Theory Dupont,1660 Connecticut Ave NW,Fitness,D1,4,1,65,No,38.9118,-77.0438
D1-052,CorePower Yoga,1901 L St NW,Yoga,D1,4,2,76,Yes,38.9040,-77.0430
D1-053,Barre3 Dupont,1616 Connecticut Ave NW,Fitness,D1,4,1,68,No,38.9114,-77.0437
D1-054,Solidcore Dupont,1620 Connecticut Ave NW,Fitness,D1,4,1,70,No,38.9115,-77.0437
D1-055,Bank of America,1501 Connecticut Ave NW,Bank,D1,4,2,55,No,38.9100,-77.0432
D1-056,Chase Bank,1620 Connecticut Ave NW,Bank,D1,4,2,55,No,38.9115,-77.0437
D1-057,Wells Fargo,1700 Connecticut Ave NW,Bank,D1,4,2,55,No,38.9124,-77.0440
D1-058,Capital One Cafe,1680 Connecticut Ave NW,Cafe/Bank,D1,5,3,78,No,38.9120,-77.0439
D1-059,Westin Dupont,1400 M St NW,Hotel,D1,5,3,80,No,38.9053,-77.0325
D1-060,Hilton Dupont,1919 Connecticut Ave NW,Hotel,D1,5,3,82,No,38.9155,-77.0455
D1-061,Marriott Courtyard,1733 N St NW,Hotel,D1,4,2,75,No,38.9082,-77.0430
D1-062,Beacon Hotel,1615 Rhode Island Ave NW,Hotel,D1,4,3,74,No,38.9108,-77.0382
D1-063,Kimpton Mason & Rook,1430 Rhode Island Ave NW,Hotel,D1,5,4,84,No,38.9095,-77.0365
D1-064,Lyle DC,1731 N St NW,Hotel,D1,4,4,82,No,38.9082,-77.0429
D1-065,Hanks Oyster Bar,1624 Q St NW,Restaurant,D1,4,5,84,No,38.9105,-77.0380
D1-067,Little Serow,1511 17th St NW,Restaurant,D1,4,1,76,No,38.9114,-77.0385
D1-068,The Palm,1225 19th St NW,Restaurant,D1,5,3,80,No,38.9050,-77.0430
D1-069,Ruths Chris,1801 Connecticut Ave NW,Restaurant,D1,5,3,78,No,38.9138,-77.0446
D1-070,Mortons Steakhouse,1050 Connecticut Ave NW,Restaurant,D1,5,2,75,No,38.9040,-77.0400
D1-071,Buffalo Wild Wings,1732 Connecticut Ave NW,Restaurant,D1,4,3,72,No,38.9129,-77.0443
D1-072,The Big Board,1421 R St NW,Bar,D1,4,3,76,No,38.9122,-77.0330
D1-073,St. Arnolds,1827 Jefferson Pl NW,Bar,D1,4,4,78,No,38.9145,-77.0420
D1-074,Firefly,1310 New Hampshire Ave NW,Restaurant,D1,4,4,80,No,38.9085,-77.0395
D1-075,Iron Gate,1734 N St NW,Restaurant,D1,5,5,88,No,38.9083,-77.0430
D1-076,Obelisk,2029 P St NW,Restaurant,D1,4,2,78,No,38.9092,-77.0460
D1-077,Sushi Capitol,1527 Connecticut Ave NW,Restaurant,D1,3,2,68,No,38.9104,-77.0434
D1-078,Cafe Citron,1343 Connecticut Ave NW,Bar,D1,4,3,74,No,38.9076,-77.0420
D1-080,Public Bar,1214 18th St NW,Bar,D1,4,3,70,No,38.9048,-77.0420
D1-081,Science Club,1136 19th St NW,Bar,D1,4,2,68,No,38.9038,-77.0432
D1-082,Mad Hatter,1319 Connecticut Ave NW,Bar,D1,4,2,66,No,38.9073,-77.0419
D1-083,Local 16,1602 U St NW,Bar,D1,4,5,84,No,38.9168,-77.0375
D1-084,Madhatter DC,1831 M St NW,Bar,D1,4,3,72,No,38.9046,-77.0422
D1-085,FedEx Office,1667 Connecticut Ave NW,Services,D1,4,1,55,No,38.9119,-77.0438
D1-086,UPS Store,1701 Connecticut Ave NW,Services,D1,3,1,52,No,38.9124,-77.0440
D1-087,Ace Hardware,1725 Connecticut Ave NW,Retail,D1,4,2,62,No,38.9128,-77.0442
D1-088,Walgreens,1621 Connecticut Ave NW,Pharmacy,D1,5,2,65,No,38.9114,-77.0437
D1-089,Giant Food,1414 8th St NW,Grocery,D1,5,2,60,No,38.9092,-77.0235
D1-090,Trader Joes,1914 14th St NW,Grocery,D1,5,2,72,No,38.9168,-77.0320
D1-091,Whole Foods Dupont,1440 P St NW,Grocery,D1,5,3,78,Yes,38.9095,-77.0335
D1-092,Harris Teeter,1631 Kalorama Rd NW,Grocery,D1,5,2,68,No,38.9195,-77.0435
D1-093,Yes! Organic,1825 Columbia Rd NW,Grocery,D1,4,2,65,No,38.9215,-77.0420
D1-094,Safeway Dupont,1701 Corcoran St NW,Grocery,D1,5,2,62,No,38.9130,-77.0398
D1-095,MOMs Organic,1730 Columbia Rd NW,Grocery,D1,4,2,66,No,38.9210,-77.0415
D2-001,Fireplace,2161 P St NW,Bar,D2,4,5,88,Yes,38.9095,-77.0470
D2-002,Larrys Lounge,1840 18th St NW,Bar,D2,4,5,88,Yes,38.9135,-77.0420
D2-003,JRs Bar,1519 17th St NW,Bar,D2,4,4,82,No,38.9115,-77.0385
D2-004,Dukes Grocery,1513 17th St NW,Restaurant,D2,4,5,85,No,38.9114,-77.0385
D2-005,Sushi Taro,1503 17th St NW,Restaurant,D2,5,2,85,No,38.9112,-77.0384
D2-006,Floriana,1602 17th St NW,Restaurant,D2,4,4,80,No,38.9120,-77.0387
D2-007,Annies Steakhouse,1609 17th St NW,Restaurant,D2,4,3,78,No,38.9122,-77.0388
D2-008,Lauriol Plaza,1835 18th St NW,Restaurant,D2,5,5,86,No,38.9134,-77.0419
D2-009,Perrys,1811 Columbia Rd NW,Restaurant,D2,4,5,84,No,38.9212,-77.0418
D2-010,Commissary DC,1443 P St NW,Restaurant,D2,4,4,80,No,38.9095,-77.0338
D2-011,Trade,1410 14th St NW,Bar,D2,4,4,82,No,38.9100,-77.0318
D2-012,Number Nine,1435 P St NW,Bar,D2,4,3,78,No,38.9095,-77.0335
D2-013,Cobalt,1639 R St NW,Bar,D2,4,4,80,No,38.9125,-77.0378
D2-014,Pitchers,2317 18th St NW,Bar,D2,4,4,78,No,38.9195,-77.0430
D2-015,Windows Cafe,1841 17th St NW,Cafe,D2,3,3,72,No,38.9135,-77.0390
D2-017,Bua Thai,1635 P St NW,Restaurant,D2,4,2,72,No,38.9093,-77.0378
D2-018,Agora,1527 17th St NW,Restaurant,D2,4,4,80,No,38.9116,-77.0386
D2-019,Thai Chef,1712 Connecticut Ave NW,Restaurant,D2,3,2,68,No,38.9126,-77.0441
D2-020,Raku,1900 Q St NW,Restaurant,D2,4,3,75,No,38.9108,-77.0450
D2-021,Golds Gym Dupont,1612 U St NW,Gym,D2,4,2,72,No,38.9168,-77.0378
D2-022,Bang Salon,1612 U St NW,Salon,D2,3,1,62,No,38.9167,-77.0379
D2-023,Diegos Hair Salon,1901 Q St NW,Salon,D2,4,2,72,No,38.9108,-77.0450
D2-024,Axis Salon,1519 17th St NW,Salon,D2,3,1,64,No,38.9115,-77.0385
D2-025,Hair Cuttery,1620 17th St NW,Salon,D2,3,1,58,No,38.9122,-77.0388
D2-026,Meridian Pint,3400 11th St NW,Bar,D2,4,4,82,No,38.9330,-77.0270
D2-027,The Saloon,1205 U St NW,Bar,D2,4,3,76,No,38.9170,-77.0290
D2-028,Sollys Tavern,1942 11th St NW,Bar,D2,3,2,70,No,38.9175,-77.0270
D2-029,Right Proper,624 T St NW,Brewery,D2,5,4,86,No,38.9150,-77.0210
D2-030,Anxo Cidery,711 Kennedy St NW,Bar,D2,4,5,84,No,38.9635,-77.0260
D2-031,Dupont Italian Kitchen,1637 17th St NW,Restaurant,D2,4,3,74,No,38.9125,-77.0388
D2-032,Pizzeria Vetri,1530 14th St NW,Restaurant,D2,4,3,76,No,38.9110,-77.0320
D2-033,Red Hen,1822 1st St NE,Restaurant,D2,4,4,84,No,38.9135,-77.0000
D2-034,Masseria,1340 4th St NE,Restaurant,D2,5,3,82,No,38.9095,-76.9980
D2-035,Roses Luxury,717 8th St SE,Restaurant,D2,5,4,88,No,38.8790,-76.9945
D2-036,Mintwood Place,1813 Columbia Rd NW,Restaurant,D2,4,4,82,No,38.9212,-77.0418
D2-038,Federalist Pig,1654 Columbia Rd NW,Restaurant,D2,4,3,78,No,38.9200,-77.0405
D2-039,Amsterdam Falafel,2425 18th St NW,Restaurant,D2,3,3,72,No,38.9205,-77.0430
D2-041,El Tamarindo,1785 Florida Ave NW,Restaurant,D2,4,4,76,No,38.9185,-77.0400
D2-042,Madams Organ,2461 18th St NW,Bar,D2,4,4,80,No,38.9210,-77.0430
D2-043,Bossa,2463 18th St NW,Restaurant,D2,4,4,78,No,38.9210,-77.0430
D2-044,Grand Cata,1550 7th St NW,Wine Bar,D2,4,3,76,No,38.9125,-77.0210
D2-045,Doi Moi,1800 14th St NW,Restaurant,D2,4,4,82,No,38.9155,-77.0320
D2-046,Estadio,1520 14th St NW,Restaurant,D2,4,4,84,No,38.9108,-77.0320
D2-048,Cork Wine Bar,1720 14th St NW,Wine Bar,D2,4,4,80,No,38.9145,-77.0320
D2-049,Etto,1541 14th St NW,Restaurant,D2,4,4,82,No,38.9112,-77.0320
D2-050,Blue Duck Tavern,1201 24th St NW,Restaurant,D2,5,3,84,No,38.9040,-77.0500
D2-051,Marcels,2401 Pennsylvania Ave NW,Restaurant,D2,5,3,82,No,38.9018,-77.0520
D2-052,Kinkeads,2000 Pennsylvania Ave NW,Restaurant,D2,5,3,80,No,38.9010,-77.0480
D2-053,Founding Farmers,1924 Pennsylvania Ave NW,Restaurant,D2,5,4,86,No,38.9005,-77.0470
D2-054,Farmers Fishers Bakers,3000 K St NW,Restaurant,D2,5,5,88,No,38.9020,-77.0615
D2-055,Tony & Joes,3000 K St NW,Restaurant,D2,4,5,84,No,38.9020,-77.0615
D2-056,Sequoia,3000 K St NW,Restaurant,D2,5,5,86,No,38.9020,-77.0615
D2-057,Nicks Riverside,3050 K St NW,Restaurant,D2,4,5,82,No,38.9022,-77.0620
D2-058,Fiola Mare,3100 K St NW,Restaurant,D2,5,5,90,No,38.9025,-77.0625
D2-059,Pinea,799 14th St NW,Restaurant,D2,4,3,76,No,38.8980,-77.0320
D2-060,Old Ebbitt Grill,675 15th St NW,Restaurant,D2,5,3,84,No,38.8975,-77.0340
D2-061,The Hamilton,600 14th St NW,Restaurant,D2,5,3,82,No,38.8968,-77.0320
D2-062,J&G Steakhouse,515 15th St NW,Restaurant,D2,5,3,80,No,38.8962,-77.0340
D2-064,Kellari Taverna,1700 K St NW,Restaurant,D2,4,3,76,No,38.9025,-77.0385
D2-065,Vidalia,1990 M St NW,Restaurant,D2,4,2,74,No,38.9045,-77.0455
D2-066,Rasika West End,1190 New Hampshire Ave NW,Restaurant,D2,5,3,86,No,38.9035,-77.0410
D2-067,Westend Bistro,1190 22nd St NW,Restaurant,D2,4,4,80,No,38.9030,-77.0480
D2-068,Blue Gin,1206 Wisconsin Ave NW,Bar,D2,4,3,74,No,38.9050,-77.0625
D2-069,Cafe Milano,3251 Prospect St NW,Restaurant,D2,5,4,84,No,38.9055,-77.0660
D2-070,Martins Tavern,1264 Wisconsin Ave NW,Restaurant,D2,4,3,78,No,38.9055,-77.0628
D2-071,Clydes Georgetown,3236 M St NW,Restaurant,D2,5,4,82,No,38.9050,-77.0655
D2-072,Filomena,1063 Wisconsin Ave NW,Restaurant,D2,5,4,80,No,38.9035,-77.0615
D2-073,Bourbon Steak,2800 Pennsylvania Ave NW,Restaurant,D2,5,3,84,No,38.9012,-77.0565
D2-074,Chez Billy Sud,1039 31st St NW,Restaurant,D2,4,4,82,No,38.9030,-77.0612
D2-075,Cafe Bonaparte,1522 Wisconsin Ave NW,Restaurant,D2,4,4,78,No,38.9068,-77.0640
D3-001,The Royal Sonesta,2121 P St NW,Hotel,D3,5,5,90,Yes,38.9090,-77.0468
D3-002,Le Pain Quotidien,2001 P St NW,Bakery/Cafe,D3,4,5,87,Yes,38.9090,-77.0456
D3-003,Emissary,2032 P St NW,Coffee,D3,4,4,86,No,38.9092,-77.0462
D3-004,The Ven Hotel,2015 Massachusetts Ave NW,Hotel,D3,5,4,86,Yes,38.9110,-77.0460
D3-005,Barrys Bootcamp,1345 19th St NW,Fitness,D3,5,2,85,No,38.9075,-77.0432
D3-006,Pizzeria Paradiso,2003 P St NW,Restaurant,D3,4,3,78,No,38.9091,-77.0457
D3-007,Al Tiramisu,2014 P St NW,Restaurant,D3,4,3,76,No,38.9091,-77.0458
D3-008,Oasis Market,2024 P St NW,Retail,D3,3,2,68,No,38.9092,-77.0460
D3-009,Second Story Books,2000 P St NW,Retail,D3,4,1,72,No,38.9090,-77.0455
D3-010,Dupont Coffee Collective,1909 Q St NW,Coffee,D3,4,2,68,No,38.9110,-77.0450
D3-011,Deep Blue Nail Spa,2122 P St NW,Beauty,D3,3,1,58,No,38.9090,-77.0468
D3-012,Famous Nails Spa,2024 P St NW,Beauty,D3,3,1,56,No,38.9092,-77.0460
D3-013,Hammer & Nails,2147 P St NW,Beauty,D3,3,2,62,No,38.9092,-77.0472
D3-014,Illa Spa,2035 P St NW,Spa,D3,4,1,65,No,38.9093,-77.0462
D3-015,Fred & Stilla,2015 Massachusetts Ave NW,Coffee/Bar,D3,4,3,78,No,38.9110,-77.0460
D3-016,Dupont Circle Hotel,1500 New Hampshire Ave NW,Hotel,D3,5,4,84,No,38.9095,-77.0405
D3-017,Residence Inn Dupont,2120 P St NW,Hotel,D3,4,2,75,No,38.9090,-77.0468
D3-018,Embassy Row Hotel,2015 Massachusetts Ave NW,Hotel,D3,5,4,84,No,38.9110,-77.0460
D3-019,Churchill Hotel,1914 Connecticut Ave NW,Hotel,D3,4,3,78,No,38.9153,-77.0453
D3-020,Swann House B&B,1808 New Hampshire Ave NW,Hotel,D3,4,4,76,No,38.9130,-77.0415
D3-021,Akbar Indian,2032 P St NW,Restaurant,D3,4,2,72,No,38.9092,-77.0462
D3-022,Taqueria Capital,2029 P St NW,Restaurant,D3,3,2,68,No,38.9092,-77.0461
D3-023,Capital Doner,2035 P St NW,Restaurant,D3,3,2,65,No,38.9093,-77.0462
D3-024,Amsterdam Falafel,2425 18th St NW,Restaurant,D3,3,3,72,No,38.9205,-77.0430
D3-025,Baan Thai,1326 14th St NW,Restaurant,D3,4,3,74,No,38.9090,-77.0318
D3-026,Thai Square,1424 P St NW,Restaurant,D3,4,2,70,No,38.9095,-77.0330
D3-027,Cafe Luna,1633 P St NW,Restaurant,D3,4,4,78,No,38.9093,-77.0377
D3-028,Ripple,3417 Connecticut Ave NW,Restaurant,D3,4,3,76,No,38.9360,-77.0565
D3-029,2Amys,3715 Macomb St NW,Restaurant,D3,4,4,80,No,38.9365,-77.0688
D3-030,Palena,3529 Connecticut Ave NW,Restaurant,D3,4,3,78,No,38.9375,-77.0570
D3-031,Sushiko,2309 Wisconsin Ave NW,Restaurant,D3,4,2,74,No,38.9125,-77.0680
D3-032,Cactus Cantina,3300 Wisconsin Ave NW,Restaurant,D3,5,5,84,Yes,38.9275,-77.0715
D3-033,Guapos,4515 Wisconsin Ave NW,Restaurant,D3,4,4,78,No,38.9455,-77.0780
D3-034,Comet Ping Pong,5037 Connecticut Ave NW,Restaurant,D3,4,3,72,No,38.9565,-77.0690
D3-035,Petits Plats,2653 Connecticut Ave NW,Restaurant,D3,4,3,74,No,38.9240,-77.0520
D3-036,Medium Rare,3500 Connecticut Ave NW,Restaurant,D3,4,3,76,No,38.9370,-77.0568
D3-037,Open City,2331 Calvert St NW,Cafe,D3,4,4,80,No,38.9230,-77.0480
D3-038,Tryst,2459 18th St NW,Coffee,D3,4,4,82,No,38.9208,-77.0430
D3-039,The Diner,2453 18th St NW,Restaurant,D3,4,4,78,No,38.9207,-77.0430
D3-040,Songbyrd,2477 18th St NW,Music/Cafe,D3,4,3,76,No,38.9210,-77.0432
D3-041,Pharmacy Bar,2337 18th St NW,Bar,D3,4,3,74,No,38.9195,-77.0428
D3-042,Jack Rose Dining,2007 18th St NW,Bar,D3,5,5,88,No,38.9175,-77.0420
D3-043,Smoke & Barrel,2471 18th St NW,Restaurant,D3,4,4,80,No,38.9209,-77.0431
D3-044,Mintwood Place,1813 Columbia Rd NW,Restaurant,D3,4,4,82,No,38.9212,-77.0418
D3-045,The Blaguard,2003 18th St NW,Bar,D3,4,3,74,No,38.9174,-77.0420
D3-046,Roofers Union,2446 18th St NW,Restaurant,D3,4,5,84,No,38.9205,-77.0429
D3-047,Lucky Bar,1221 Connecticut Ave NW,Bar,D3,4,2,68,No,38.9062,-77.0418
D3-048,Russia House,1800 Connecticut Ave NW,Bar,D3,4,3,74,No,38.9138,-77.0446
D3-049,Bier Baron,1523 22nd St NW,Bar,D3,4,2,72,No,38.9105,-77.0482
D3-050,ChurchKey Bottleshop,1337 14th St NW,Retail,D3,4,2,75,No,38.9093,-77.0320
D3-051,Cairo Wine & Liquor,1618 17th St NW,Retail,D3,3,1,62,No,38.9122,-77.0388
D3-052,Rodmans,5100 Wisconsin Ave NW,Retail,D3,4,2,68,No,38.9530,-77.0795
D3-053,Politics & Prose,5015 Connecticut Ave NW,Books,D3,5,3,82,No,38.9562,-77.0688
D3-054,Upshur Books,827 Upshur St NW,Books,D3,4,2,70,No,38.9420,-77.0250
D3-055,East City Books,645 Pennsylvania Ave SE,Books,D3,4,2,68,No,38.8835,-76.9945
D3-056,Solid State Books,600 H St NE,Books,D3,4,3,76,No,38.9005,-76.9985
D3-057,Loyalty Books,2319 18th St NW,Books,D3,4,2,72,No,38.9195,-77.0428
D3-058,Bridge Street Books,2814 Pennsylvania Ave NW,Books,D3,4,2,70,No,38.9015,-77.0570
D3-059,Capitol Hill Books,657 C St SE,Books,D3,4,1,68,No,38.8840,-76.9945
D3-060,The Lantern,3241 P St NW,Books,D3,3,1,62,No,38.9055,-77.0655
D3-061,Attaboy,1435 U St NW,Bar,D3,4,2,78,No,38.9170,-77.0335
D3-062,Baby Wale,1124 9th St NW,Bar,D3,4,3,76,No,38.9020,-77.0240
D3-063,Columbia Room,124 Blagden Alley NW,Bar,D3,5,3,86,No,38.9090,-77.0210
D3-064,Morris American,1020 7th St NW,Bar,D3,4,3,74,No,38.9005,-77.0210
D3-065,Off the Record,800 16th St NW,Bar,D3,5,2,78,No,38.8995,-77.0362
D3-067,Quill,1200 16th St NW,Bar,D3,5,3,82,No,38.9050,-77.0365
D3-068,Round Robin,1401 Pennsylvania Ave NW,Bar,D3,5,2,80,No,38.8950,-77.0310
D3-069,Salon,3215 P St NW,Bar,D3,4,3,74,No,38.9052,-77.0652
D3-070,Silver,728 14th St NW,Bar,D3,4,3,72,No,38.8975,-77.0320
D4-001,Boqueria,1837 M St NW,Restaurant,D4,5,5,86,Yes,38.9046,-77.0422
D4-002,Emissary Pergamino,1726 20th St NW,Coffee,D4,4,3,72,No,38.9125,-77.0468
D4-003,MINT Gym,1724 California St NW,Gym,D4,4,2,70,No,38.9180,-77.0428
D4-004,Equinox Dupont,1170 22nd St NW,Gym,D4,5,2,75,No,38.9030,-77.0480
D4-005,WSC Connecticut,1835 Connecticut Ave NW,Gym,D4,4,2,68,No,38.9142,-77.0448
D4-006,Crunch Fitness,1835 20th St NW,Gym,D4,4,2,66,No,38.9135,-77.0475
D4-007,Pure Barre,1830 Connecticut Ave NW,Fitness,D4,4,1,65,No,38.9140,-77.0447
D4-008,CycleBar,1734 Connecticut Ave NW,Fitness,D4,4,1,68,No,38.9130,-77.0443
D4-009,Rasa,1247 20th St NW,Restaurant,D4,4,3,76,No,38.9052,-77.0468
D4-010,District Taco,1919 M St NW,Restaurant,D4,3,2,68,No,38.9043,-77.0445
D4-011,Wicked Waffle,1712 I St NW,Restaurant,D4,3,2,66,No,38.9015,-77.0385
D4-012,Le Caprice,1252 Wisconsin Ave NW,Restaurant,D4,4,4,78,No,38.9052,-77.0625
D4-013,1789 Restaurant,1226 36th St NW,Restaurant,D4,5,3,84,No,38.9065,-77.0700
D4-014,The Sovereign,1206 Wisconsin Ave NW,Bar,D4,4,3,76,No,38.9050,-77.0625
D4-015,Tombs,1226 36th St NW,Bar,D4,4,2,72,No,38.9065,-77.0700
D4-016,Third Edition,1218 Wisconsin Ave NW,Bar,D4,4,3,70,No,38.9052,-77.0627
D4-017,Rhino Bar,3295 M St NW,Bar,D4,4,3,68,No,38.9052,-77.0662
D4-018,Degrees,3100 South St NW,Bar,D4,4,4,76,No,38.9030,-77.0625
D4-019,Pinstripes,1064 Wisconsin Ave NW,Restaurant,D4,5,4,82,No,38.9035,-77.0615
D4-020,Il Canale,1065 31st St NW,Restaurant,D4,4,4,78,No,38.9032,-77.0610
D4-021,Baked & Wired,1052 Thomas Jefferson St NW,Cafe,D4,4,3,80,No,38.9030,-77.0605
D4-022,Georgetown Cupcake,3301 M St NW,Bakery,D4,4,2,74,No,38.9052,-77.0665
D4-023,Olivia Macaron,1529 Wisconsin Ave NW,Bakery,D4,3,2,68,No,38.9070,-77.0642
D4-024,Dog Tag Bakery,3206 Grace St NW,Bakery,D4,4,3,72,No,38.9045,-77.0655
D4-027,Pluma by Bluebird,151 Q St NE,Bakery,D4,4,3,76,No,38.9105,-76.9965
D4-028,Buttercream Bakeshop,1250 9th St NW,Bakery,D4,4,3,78,No,38.9055,-77.0240
D4-029,Bread Furst,4434 Connecticut Ave NW,Bakery,D4,4,3,76,No,38.9445,-77.0665
D4-030,Seylou,926 N St NW,Bakery,D4,4,3,80,No,38.9080,-77.0240
D4-031,Maketto,1351 H St NE,Restaurant,D4,5,4,86,No,38.9002,-76.9892
D4-032,The Queen Vic,1206 H St NE,Bar,D4,4,4,80,No,38.8998,-76.9905
D4-033,Rock & Roll Hotel,1353 H St NE,Music,D4,5,4,82,No,38.9002,-76.9890
D4-034,Atlas Brew Works,2052 West Virginia Ave NE,Brewery,D4,5,5,88,No,38.9110,-76.9715
D4-035,Red Bear,209 M St NE,Brewery,D4,5,5,86,No,38.9045,-77.0010
D4-036,Bluejacket,300 Tingey St SE,Brewery,D4,5,5,90,No,38.8760,-76.9940
D4-037,DC Brau,3178 Bladensburg Rd NE,Brewery,D4,5,4,84,No,38.9210,-76.9610
D4-038,Other Half DC,1401 Okie St NE,Brewery,D4,5,5,88,No,38.9185,-76.9765
D4-039,Denizens,1115 East West Hwy,Brewery,D4,4,4,80,No,38.9862,-77.0260
